provincia,departamento,sector,ambito,matricula_total,tasa_repitencia,tasa_sobreedad,ratio_alumnos_seccion,tasa_abandono,abandono_alto,prop_electricidad,prop_equip_establecimiento,prop_equip_biblioteca,prop_internet_estatal,prop_conexion_aulas,prop_sin_cooperadora,prop_laboratorio,prop_biblioteca
Buenos Aires,PUAN,Estatal,Urbano,785.0,0.08025477707006369,0.14522292993630573,16.354166666666668,1.182033096926714,0,1.0,0.6666666666666666,0.28125,0.75,0.625,0.0,0.625,1.0
Buenos Aires,PUAN,Privado,Urbano,1018.0,0.015717092337917484,0.03831041257367387,20.36,0.3058103975535168,0,1.0,0.7129629629629628,0.49999999999999994,0.1111111111111111,1.0,0.5555555555555556,0.7777777777777778,1.0
Buenos Aires,PUNTA INDIO,Estatal,Rural,875.0,0.03314285714285714,0.06285714285714286,19.444444444444443,0.1132502831257078,0,1.0,0.38888888888888884,0.10416666666666667,0.6666666666666666,0.7916666666666666,0.25,0.08333333333333333,0.625
Buenos Aires,PUNTA INDIO,Estatal,Urbano,1402.0,0.0442225392296719,0.09557774607703282,24.17241379310345,0.4276550249465431,0,1.0,0.3958333333333333,0.203125,0.625,0.75,0.0,0.375,0.875
Buenos Aires,QUILMES,Estatal,Urbano,79954.0,0.07999599769867674,0.2113340170598094,25.519948930737314,0.147444708234412,0,1.0,0.41008771929824556,0.1400375939849624,0.9060150375939849,0.7368421052631579,0.3082706766917293,0.23308270676691728,0.8796992481203008
Buenos Aires,QUILMES,Privado,Urbano,41353.0,0.01080937295964017,0.030735375909849347,27.716487935656836,0.0240482889642401,0,0.9895287958115183,0.587260034904014,0.11649214659685865,0.0,0.7382198952879581,0.9842931937172775,0.5287958115183246,0.5863874345549738
Buenos Aires,RAMALLO,Estatal,Rural,799.0,0.02753441802252816,0.08886107634543179,22.82857142857143,0.0,0,1.0,0.40686274509803916,0.022058823529411763,0.7647058823529411,0.8235294117647058,0.0,0.17647058823529413,0.5294117647058824
Buenos Aires,RAMALLO,Estatal,Urbano,6672.0,0.042715827338129495,0.08543165467625899,22.54054054054054,0.0148478099480326,0,1.0,0.5402298850574713,0.13362068965517243,0.5517241379310345,0.7931034482758621,0.034482758620689655,0.41379310344827586,0.896551724137931
Buenos Aires,RAUCH,Estatal,Rural,414.0,0.03140096618357488,0.16183574879227053,19.714285714285715,0.0,0,0.9655172413793104,0.2988505747126436,0.07758620689655171,0.7241379310344828,0.8620689655172413,0.27586206896551724,0.1724137931034483,0.4827586206896552
Buenos Aires,RAUCH,Estatal,Urbano,1362.0,0.06534508076358296,0.11527165932452275,19.73913043478261,0.0710227272727272,0,1.0,0.37222222222222223,0.10833333333333334,0.7333333333333333,0.7333333333333333,0.4,0.13333333333333333,0.4666666666666667
Buenos Aires,RIVADAVIA,Estatal,Rural,964.0,0.044605809128630707,0.12033195020746888,16.912280701754387,0.7360672975814931,0,1.0,0.3828125,0.02734375,0.9375,0.875,0.3125,0.09375,0.46875
Buenos Aires,RIVADAVIA,Estatal,Urbano,1745.0,0.08022922636103152,0.197134670487106,19.829545454545453,1.011904761904762,0,1.0,0.5303030303030303,0.05681818181818182,0.8181818181818182,0.9090909090909091,0.0,0.36363636363636365,1.0
Buenos Aires,RIVADAVIA,Privado,Urbano,983.0,0.013224821973550356,0.018311291963377416,27.305555555555557,0.0,0,1.0,0.6666666666666666,0.34375,0.0,1.0,1.0,0.0,1.0
Buenos Aires,ROJAS,Estatal,Rural,543.0,0.01841620626151013,0.06813996316758748,16.96875,0.1773049645390071,0,1.0,0.3863636363636363,0.07386363636363637,0.7727272727272727,0.8636363636363636,0.13636363636363635,0.22727272727272727,0.7272727272727273
Buenos Aires,ROJAS,Estatal,Urbano,3340.0,0.03502994011976048,0.09940119760479042,21.830065359477125,0.2367564368156259,0,1.0,0.47666666666666674,0.25,0.84,0.88,0.12,0.44,0.84
Buenos Aires,ROQUE PEREZ,Estatal,Rural,396.0,0.08585858585858586,0.18686868686868688,20.842105263157894,0.0,0,1.0,0.38333333333333336,0.008333333333333333,1.0,0.9666666666666667,0.16666666666666666,0.1,0.4
